mean,variance,skewness,kurtosis,spectral_centroid,spectral_bandwidth,peak_frequency,power_spectral_density,phase_variance,symbol_rate,spectrogram_entropy,label
-5.5517263e-05,0.56244224,0.33336641548083995,-0.8918470157037062,2000.0008737688443,333.82127468257875,2000.0,0.0106665995,7761190.5,1.953182713716695e-06,6.384003,LF_AM
-6.2808474e-05,0.62242264,0.5612379615613876,-0.5029717699005829,2000.0006127676832,443.9736329763415,2000.0,0.0106665995,7761190.5,1.953182713716695e-06,6.494876,LF_AM
-7.3745934e-05,0.7498896,0.8661155780817256,-0.027335754654416622,2000.0006468483118,577.6321026149608,2000.0,0.0106665995,7761436.0,2.313004134683516e-06,6.545962,LF_AM
5.6033543e-05,0.5624457,2.776626564287536e-05,-0.891944906223483,13999.999411455972,333.8212504914526,14000.0,0.010666667,380174560.0,1.3669263514930174e-05,6.3839965,LF_AM
6.3405554e-05,0.6224265,7.24048746758585e-05,-0.5031500920067464,13999.99979846847,443.9737613106217,14000.0,0.0106666675,380174560.0,1.3669259957539982e-05,6.4948688,LF_AM
7.447521e-05,0.74989414,0.00012612546395798161,-0.027629445781681028,13999.999864182178,577.6321069073838,14000.0,0.0106666675,327808160.0,1.3310329959265619e-05,6.545955,LF_AM
5.656896e-05,0.5224811,-0.00014298351590146896,-1.251346320136756,2699.912088180092,211.18244579732365,2687.5,0.005064451,19238038.0,6.591881083248689e-07,7.017366,ULF_AM
5.041603e-05,0.56246185,-0.00014756931034178806,-0.8980252545205571,2699.8878332289296,335.7208876700142,2687.5,0.005064455,19238038.0,6.591976688110118e-07,7.1479635,ULF_AM
4.4263223e-05,0.6224454,-0.0001543102684852788,-0.522334971050324,2699.866911649435,445.46131389942167,2687.5,0.005064457,19238038.0,6.591893682338955e-07,7.2456174,ULF_AM
0.00016979888,0.52261126,0.00018759446953534227,-1.251678531331846,329.72189898683695,159.58900285800013,312.5,0.005064448,310168.97,7.328344692675178e-08,6.8737803,ULF_AM
-0.00052473735,0.5626827,0.000572769137818082,-0.8981194623320339,377.34575478997573,244.50515249772755,312.5,0.0050644465,237506.52,8.126739315584269e-08,6.9597235,ULF_AM
-0.0005205672,0.62272114,0.00027702184766736346,-0.5225699422973418,437.3145208629328,310.72185706662475,312.5,0.0050644507,237506.42,9.77216382903978e-08,7.023266,ULF_AM
-0.0005205672,0.62272114,0.00027702184766736346,-0.5225699422973418,437.3145208629328,310.72185706662475,312.5,0.0050644507,237506.42,9.77216382903978e-08,7.023266,ULF_AM
-0.0005205672,0.62272114,0.00027702184766736346,-0.5225699422973418,437.3145208629328,310.72185706662475,312.5,0.0050644507,237506.42,9.77216382903978e-08,7.023266,ULF_AM
1.5526324e-06,0.24998888,-6.607107957687484e-07,0.00011706800155408814,19854.148389902446,2886.232833276965,19921.874999999996,0.0003463545,8209291000.0,2.5009347145521375e-07,9.863546,VLF_BPSK
-0.012069799,0.2498447,0.004116035535309537,0.0005180461629259447,24887.728273420962,3103.325719701729,24999.999999999996,0.00042666664,12969293000.0,4.150752916167293e-07,9.85296,VLF_BPSK
5.907295e-07,0.24999069,-1.936618204776417e-06,9.048242877351953e-05,20298.101790242352,4935.620162914055,19921.874999999996,0.00034635316,8876580000.0,3.6524782839288615e-07,10.192772,VLF_BPSK
1.4314233e-12,0.24999225,2.2903838256118287e-11,8.89327607960233e-05,25420.225460043137,5172.477020964858,24999.999999999996,0.00042666672,13930452000.0,6.000380475692748e-07,9.782312,VLF_BPSK
